kind,etag,id,videoId,kind,etag,id,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,canReply,totalReplyCount,isPublic,replies
youtube#commentThread,Z76aqnWoUGmzgu7OoVUkTdUB9tw,UgyrZkirZaiK2mmw4gV4AaABAg,-ik4xH7MiYE,youtube#comment,UlEawh4hS_iGg2LaTgyjaenSS0w,UgyrZkirZaiK2mmw4gV4AaABAg,-ik4xH7MiYE,❤️,❤️,Hassouni ApeX,https://yt3.ggpht.com/T6BOh9bxcXtntYIkTvyRKHi6p4nptS-UBSeO4rD9M1loWLNtfK6KAEGP_d-_iGZ1VG_sQw9Y=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCBViNHfmRSkbbea-_od8aaQ,UCBViNHfmRSkbbea-_od8aaQ,True,none,0,2023-01-24T06:32:40Z,2023-01-24T06:32:40Z,True,0,True,
youtube#commentThread,-4vB7F6_AYUCv15Ti0Kd93GsguM,Ugy_1XNVomQXAi-fQmF4AaABAg,-ik4xH7MiYE,youtube#comment,nARI07v7PMU77fSIuC3GI088hGs,Ugy_1XNVomQXAi-fQmF4AaABAg,-ik4xH7MiYE,SAMSUNG ADD GAME BOOSTER TO A03S,SAMSUNG ADD GAME BOOSTER TO A03S,ᴅʀᴇᴀᴅ,https://yt3.ggpht.com/94SE95Fuj9W4mLsTYyM1X9ehD7_DZ8EjKA0lKgBdzaFJs8KUdhXHDDEOghUbzDQQEWV7mToB=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCQuJ86hUVoSPYP-jF0T96OA,UCQuJ86hUVoSPYP-jF0T96OA,True,none,1,2023-01-24T06:18:43Z,2023-01-24T06:18:43Z,True,0,True,
youtube#commentThread,i8jIxduki1OdkqIiaZ2BIOAk9l0,Ugz9IzpzPlT1E7V_7Bt4AaABAg,-ik4xH7MiYE,youtube#comment,mirgEOXOTMRqS22UqrVVhByx0dY,Ugz9IzpzPlT1E7V_7Bt4AaABAg,-ik4xH7MiYE,SAMSUNG ADD GAME BOOSTER TO A03S,SAMSUNG ADD GAME BOOSTER TO A03S,ᴅʀᴇᴀᴅ,https://yt3.ggpht.com/94SE95Fuj9W4mLsTYyM1X9ehD7_DZ8EjKA0lKgBdzaFJs8KUdhXHDDEOghUbzDQQEWV7mToB=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCQuJ86hUVoSPYP-jF0T96OA,UCQuJ86hUVoSPYP-jF0T96OA,True,none,1,2023-01-24T06:18:27Z,2023-01-24T06:18:27Z,True,0,True,
youtube#commentThread,oSpkL_TqRD2rRsFU2cyH4X09_p4,UgxN1eqteB8xk1RH2Y94AaABAg,-ik4xH7MiYE,youtube#comment,Axigdq14pnTzosQ5XAyqXzFf-zA,UgxN1eqteB8xk1RH2Y94AaABAg,-ik4xH7MiYE,SAMSUNG GALAXY A33 5g Wallpaper video den ♥️ 👌 😍 bangladesh 🇧🇩 ♥️ 😋 👌 ❤️,SAMSUNG GALAXY A33 5g Wallpaper video den ♥️ 👌 😍 bangladesh 🇧🇩 ♥️ 😋 👌 ❤️,Md. Mishon islam,https://yt3.ggpht.com/ytc/AL5GRJXbIWg-LBGNH5JPKO-Mz_3ca5PWSB7U1ZDfrNJ5ngfJmez_B7yWY4CnzjcWxbC3=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCS5465L44n9736-2W7G9Q1g,UCS5465L44n9736-2W7G9Q1g,True,none,0,2023-01-24T02:11:48Z,2023-01-24T02:11:48Z,True,0,True,
youtube#commentThread,_wrPl92SXGuWWczAbYuODNmrZzQ,Ugwu8Qn3xjJm75a4YCR4AaABAg,-ik4xH7MiYE,youtube#comment,FszenS6sAR7mD4rZ6rY80zF4_QE,Ugwu8Qn3xjJm75a4YCR4AaABAg,-ik4xH7MiYE,Samsung the One And Only my loveliest brand in the world 🌎,Samsung the One And Only my loveliest brand in the world 🌎,M Zeeshan Khan,https://yt3.ggpht.com/X34wXH7oWjBU-98GleZu9tsOLx3KzbHnBU1TY2PxTsjTM9meQYEcacyVo70mn_M6xiQvLF8EW44=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCtz2RO_DemXMghqNb92-cMg,UCtz2RO_DemXMghqNb92-cMg,True,none,1,2023-01-23T20:59:16Z,2023-01-23T20:59:16Z,True,0,True,
youtube#commentThread,Q08fBD3Ga5DJCgRM-MfU_X505XM,Ugy73Tx9qY5wI4Hg2od4AaABAg,-ik4xH7MiYE,youtube#comment,h8gUG91pt2YMv0O3bWH6WmXksFU,Ugy73Tx9qY5wI4Hg2od4AaABAg,-ik4xH7MiYE,"6,28 million gigachads here","6,28 million gigachads here",Bulut animations,https://yt3.ggpht.com/I26G84w1R4iCtrFbg5H3LMGGe1qv9PvK4ANpSj5gb7T0ZeFeXtPiD0oNpIlydKZzVipeAAgtyA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCjw4GU8MWbUvpeReFxDQ7-w,UCjw4GU8MWbUvpeReFxDQ7-w,True,none,1,2023-01-23T16:35:07Z,2023-01-23T16:35:07Z,True,1,True,"[{'kind': 'youtube#comment', 'etag': 'MEjNcOa09xlV4-KQ4a490pweBBM', 'id': 'Ugy73Tx9qY5wI4Hg2od4AaABAg.9lER_Iu6UFJ9lEaKfR3hn_', 'snippet': {'videoId': '-ik4xH7MiYE', 'textDisplay': '👆🎉 THANKS FOR WATCHING AND COMMENTING, TELEGRAM ME TO CLAIM YOUR PRIZE 🎁', 'textOriginal': '👆🎉 THANKS FOR WATCHING AND COMMENTING, TELEGRAM ME TO CLAIM YOUR PRIZE 🎁', 'parentId': 'Ugy73Tx9qY5wI4Hg2od4AaABAg', 'authorDisplayName': 'msg 👉Mdmotivato on telégram', 'authorProfileImageUrl': 'https://yt3.ggpht.com/fLBUC7MNZMu1JoNQzakb9MkBVJA8oPb7XYUrD4l55CtGXY-Nst1xH2OaaHAtabYMW_bP6LQ_=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCTfscAWyfsUu_BzBvuOA5Eg', 'authorChannelId': {'value': 'UCTfscAWyfsUu_BzBvuOA5Eg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-01-23T18:00:22Z', 'updatedAt': '2023-01-23T18:00:22Z'}}]"
youtube#commentThread,NCNgTfayVD5kbY-nLmHgsHWXgYs,UgyaIMiTDTtKjePs5rp4AaABAg,-ik4xH7MiYE,youtube#comment,vUws2hnbdlz6CyQl3bl9IB1Ni7E,UgyaIMiTDTtKjePs5rp4AaABAg,-ik4xH7MiYE,Magnifique vidéo,Magnifique vidéo,(AUGUSTIN ZIGAH) j'aime transports île-de-france,https://yt3.ggpht.com/phF7Gi58gEKwzk9_o24115-icClaQeuGqdd1cLC99pVSX9pJtJBGkwIJxPvVbGncfwcSpviL=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCWKKC6ERQg1ngTYK332f45A,UCWKKC6ERQg1ngTYK332f45A,True,none,1,2023-01-23T16:07:53Z,2023-01-23T16:07:53Z,True,1,True,"[{'kind': 'youtube#comment', 'etag': '2y8Dq7lLBzbul5tZtNcafhTBtS0', 'id': 'UgyaIMiTDTtKjePs5rp4AaABAg.9lEOSjyeLmZ9lEaMQEzSD2', 'snippet': {'videoId': '-ik4xH7MiYE', 'textDisplay': '👆🎉 THANKS FOR WATCHING AND COMMENTING, TELEGRAM ME TO CLAIM YOUR PRIZE 🎁', 'textOriginal': '👆🎉 THANKS FOR WATCHING AND COMMENTING, TELEGRAM ME TO CLAIM YOUR PRIZE 🎁', 'parentId': 'UgyaIMiTDTtKjePs5rp4AaABAg', 'authorDisplayName': 'msg 👉Mdmotivato on telégram', 'authorProfileImageUrl': 'https://yt3.ggpht.com/fLBUC7MNZMu1JoNQzakb9MkBVJA8oPb7XYUrD4l55CtGXY-Nst1xH2OaaHAtabYMW_bP6LQ_=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCTfscAWyfsUu_BzBvuOA5Eg', 'authorChannelId': {'value': 'UCTfscAWyfsUu_BzBvuOA5Eg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-01-23T18:00:36Z', 'updatedAt': '2023-01-23T18:00:36Z'}}]"
youtube#commentThread,tIPSgCXLJuor0Potxqk08Cx--O8,Ugwpp-W32-poMXTeyNh4AaABAg,-ik4xH7MiYE,youtube#comment,Kczvdbr2MZiwW_NTWOIBBYMPg4o,Ugwpp-W32-poMXTeyNh4AaABAg,-ik4xH7MiYE,Huawei flip phone have 3 on the back u still stick with 2 lol,Huawei flip phone have 3 on the back u still stick with 2 lol,Mr Ronnie,https://yt3.ggpht.com/4UKfBAdLNO0VWJ2BmCx0aJ30GM3BlRBlosb5Fx8Zkq-1sDxUTU78eCg7kovnvYYn3SB0Z_uHWA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCwWorD6YxUDB0dl6TJ4j1Hw,UCwWorD6YxUDB0dl6TJ4j1Hw,True,none,0,2023-01-23T14:19:39Z,2023-01-23T14:19:39Z,True,1,True,"[{'kind': 'youtube#comment', 'etag': '227UO_2ZCUcK_37nTm7V3MKbZd4', 'id': 'Ugwpp-W32-poMXTeyNh4AaABAg.9lEC47T2hHk9lEcFzOn-Nd', 'snippet': {'videoId': '-ik4xH7MiYE', 'textDisplay': '👆🎉 THANKS FOR WATCHING AND COMMENTING, TELEGRAM ME TO CLAIM YOUR PRIZE 🎁', 'textOriginal': '👆🎉 THANKS FOR WATCHING AND COMMENTING, TELEGRAM ME TO CLAIM YOUR PRIZE 🎁', 'parentId': 'Ugwpp-W32-poMXTeyNh4AaABAg', 'authorDisplayName': 'msg 👉Samsung003', 'authorProfileImageUrl': 'https://yt3.ggpht.com/uyxrJTbIdsvEaS5JFbwfPXF7xhG6AJvKl4Xh0GxpJUFc_FbNS-l6Ne7YLq1h4XM0e_M_sFvlIg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXEDKbPxMOBqMhqJ1pLl8xA', 'authorChannelId': {'value': 'UCXEDKbPxMOBqMhqJ1pLl8xA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-23T18:17:12Z', 'updatedAt': '2023-01-23T18:17:12Z'}}]"
youtube#commentThread,Ko1HH8289MWIXFAHsFWGqbXEWOM,Ugw_3RcJFtmGDCDnlKN4AaABAg,-ik4xH7MiYE,youtube#comment,zUKf5qkKbAQSQZ6b2wFv5YXbzj4,Ugw_3RcJFtmGDCDnlKN4AaABAg,-ik4xH7MiYE,Good to see Tommy. He’s definitely one of the best photographers out there.,Good to see Tommy. He’s definitely one of the best photographers out there.,Jls Films,https://yt3.ggpht.com/ytc/AL5GRJVwgMABxsuKGPw3o0fZuucXueEXtVcPMtutMp1rdw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCvgZx-g0F2yNIHUpzKTfRBg,UCvgZx-g0F2yNIHUpzKTfRBg,True,none,3,2023-01-23T13:55:10Z,2023-01-23T13:55:10Z,True,1,True,"[{'kind': 'youtube#comment', 'etag': 'aajNnunrKgdw-Gabxw1LBC4SFlM', 'id': 'Ugw_3RcJFtmGDCDnlKN4AaABAg.9lE9GgmXGJq9lEcL9Gk6WF', 'snippet': {'videoId': '-ik4xH7MiYE', 'textDisplay': '👆🎉 THANKS FOR WATCHING AND COMMENTING, TELEGRAM ME TO CLAIM YOUR PRIZE 🎁', 'textOriginal': '👆🎉 THANKS FOR WATCHING AND COMMENTING, TELEGRAM ME TO CLAIM YOUR PRIZE 🎁', 'parentId': 'Ugw_3RcJFtmGDCDnlKN4AaABAg', 'authorDisplayName': 'msg 👉Samsung003', 'authorProfileImageUrl': 'https://yt3.ggpht.com/uyxrJTbIdsvEaS5JFbwfPXF7xhG6AJvKl4Xh0GxpJUFc_FbNS-l6Ne7YLq1h4XM0e_M_sFvlIg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXEDKbPxMOBqMhqJ1pLl8xA', 'authorChannelId': {'value': 'UCXEDKbPxMOBqMhqJ1pLl8xA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-23T18:17:55Z', 'updatedAt': '2023-01-23T18:17:55Z'}}]"
youtube#commentThread,iF6Bx35daed3JVRUORPGg-W4wSk,Ugw6nukhzFsb-Ck7TFp4AaABAg,-ik4xH7MiYE,youtube#comment,abQ4p5rOZGk_91LUlYX6oPEuSk8,Ugw6nukhzFsb-Ck7TFp4AaABAg,-ik4xH7MiYE,Samsung is the my favourite company in the world,Samsung is the my favourite company in the world,Bibek Das,https://yt3.ggpht.com/ytc/AL5GRJXthpsY7KOhjG9ki_Tm3DJf7VDMcg1oC2WtiQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCrhrvFBMNmP75qR9l3hu8Gg,UCrhrvFBMNmP75qR9l3hu8Gg,True,none,10,2023-01-23T13:33:43Z,2023-01-23T13:33:43Z,True,4,True,"[{'kind': 'youtube#comment', 'etag': 'uTrMD4BRKw6RAcPm92GxPcMsXTI', 'id': 'Ugw6nukhzFsb-Ck7TFp4AaABAg.9lE6ocwmbTb9lG61__5ZkW', 'snippet': {'videoId': '-ik4xH7MiYE', 'textDisplay': 'ilove Samsung,  ilove koria', 'textOriginal': 'ilove Samsung,  ilove koria', 'parentId': 'Ugw6nukhzFsb-Ck7TFp4AaABAg', 'authorDisplayName': 'Ariyan Robin', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AL5GRJXX_AnIgzqW8RVwzeG39w4C2ZlWR4B1BNp2OOqJ0Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCSpXt8KCztN0AdLBtUX8-Kw', 'authorChannelId': {'value': 'UCSpXt8KCztN0AdLBtUX8-Kw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-24T08:05:22Z', 'updatedAt': '2023-01-24T08:05:22Z'}}, {'kind': 'youtube#comment', 'etag': 'ND9CsG66MCUkC0SwlPHwVXhEI5k', 'id': 'Ugw6nukhzFsb-Ck7TFp4AaABAg.9lE6ocwmbTb9lFpEQR1dMh', 'snippet': {'videoId': '-ik4xH7MiYE', 'textDisplay': 'creepy', 'textOriginal': 'creepy', 'parentId': 'Ugw6nukhzFsb-Ck7TFp4AaABAg', 'authorDisplayName': 'Lime', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ePziOjVIBzC3adAYbZHRxAjy6jIRY0K9V6PRB0Fit5wENi15htz5rWtHvLsXwu2dE125yfLN=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCFtMcyCA3SIPJpyMQ4DvEeg', 'authorChannelId': {'value': 'UCFtMcyCA3SIPJpyMQ4DvEeg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-24T05:29:50Z', 'updatedAt': '2023-01-24T05:29:50Z'}}, {'kind': 'youtube#comment', 'etag': 'vf-ETkRgKzhM7bwvcHUwNyD85Hg', 'id': 'Ugw6nukhzFsb-Ck7TFp4AaABAg.9lE6ocwmbTb9lEcM9uQHR3', 'snippet': {'videoId': '-ik4xH7MiYE', 'textDisplay': '👆🎉 THANKS FOR WATCHING AND COMMENTING, TELEGRAM ME TO CLAIM YOUR PRIZE 🎁', 'textOriginal': '👆🎉 THANKS FOR WATCHING AND COMMENTING, TELEGRAM ME TO CLAIM YOUR PRIZE 🎁', 'parentId': 'Ugw6nukhzFsb-Ck7TFp4AaABAg', 'authorDisplayName': 'msg 👉Samsung003', 'authorProfileImageUrl': 'https://yt3.ggpht.com/uyxrJTbIdsvEaS5JFbwfPXF7xhG6AJvKl4Xh0GxpJUFc_FbNS-l6Ne7YLq1h4XM0e_M_sFvlIg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXEDKbPxMOBqMhqJ1pLl8xA', 'authorChannelId': {'value': 'UCXEDKbPxMOBqMhqJ1pLl8xA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-23T18:18:03Z', 'updatedAt': '2023-01-23T18:18:03Z'}}, {'kind': 'youtube#comment', 'etag': 'QJYB0UaUF-5Fi2njQJRvZSG8p5Y', 'id': 'Ugw6nukhzFsb-Ck7TFp4AaABAg.9lE6ocwmbTb9lEGn2SIDN1', 'snippet': {'videoId': '-ik4xH7MiYE', 'textDisplay': 'Me to', 'textOriginal': 'Me to', 'parentId': 'Ugw6nukhzFsb-Ck7TFp4AaABAg', 'authorDisplayName': 'Tiniyaa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/gNngT3w6HUzGX3d0za2bjMdEjJrRS-o3UD8Lb_aPBwLodLq41smBl52LILmcUbt9sUh8qGLyig=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtVuRFxmAYTEGTuTr-UE32g', 'authorChannelId': {'value': 'UCtVuRFxmAYTEGTuTr-UE32g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-23T15:00:53Z', 'updatedAt': '2023-01-23T15:00:53Z'}}]"
